#  time    R11   R22   R33   R12   R23   R31   R21   R32   R13   eul1   eul2   eul3   sig33 
# ==== Element 1 Integ point 1
5.4536092583e+01   9.5945763588e-01  9.8805510998e-01  9.6347409487e-01  -1.1356315762e-01  7.1924909949e-02  2.4671274424e-01  1.3628591597e-01  -1.0416550189e-01  -2.5796207786e-01  2.5442048645e+02  1.5533483505e+01  1.1289013672e+02  1.2553460693e+02  
5.5155944156e+01   9.5915657282e-01  9.8813265562e-01  9.6330350637e-01  -1.1386661232e-01  7.0663720369e-02  2.4782671034e-01  1.3638377190e-01  -1.0309360176e-01  -2.5894594193e-01  2.5473620605e+02  1.5569945335e+01  1.1258685303e+02  1.2566954041e+02  
5.5517515603e+01   9.5898079872e-01  9.8817747831e-01  9.6320319176e-01  -1.1404366791e-01  6.9926127791e-02  2.4847581983e-01  1.3643914461e-01  -1.0246631503e-01  -2.5951862335e-01  2.5492004395e+02  1.5591338158e+01  1.1241024017e+02  1.2574436188e+02  
5.6047230958e+01   9.5874148607e-01  9.8825186491e-01  9.6307414770e-01  -1.1427833140e-01  6.8797044456e-02  2.4937823415e-01  1.3647425175e-01  -1.0148259252e-01  -2.6029825211e-01  2.5519520569e+02  1.5618830681e+01  1.1214349365e+02  1.2584489441e+02  
5.6500495699e+01   9.5853853226e-01  9.8831588030e-01  9.6296465397e-01  -1.1447659880e-01  6.7824050784e-02  2.5014448166e-01  1.3649764657e-01  -1.0063209385e-01  -2.6095780730e-01  2.5543092346e+02  1.5642112732e+01  1.1191471863e+02  1.2594868469e+02  
5.7037345851e+01   9.5827341080e-01  9.8837906122e-01  9.6280908585e-01  -1.1474395543e-01  6.6728718579e-02  2.5111359358e-01  1.3657997549e-01  -9.9702738225e-02  -2.6181280613e-01  2.5570133972e+02  1.5675136566e+01  1.1165517426e+02  1.2606365204e+02  
5.7589900226e+01   9.5799970627e-01  9.8844319582e-01  9.6264719963e-01  -1.1501976848e-01  6.5599508584e-02  2.5211080909e-01  1.3666285574e-01  -9.8744533956e-02  -2.6269191504e-01  2.5597883606e+02  1.5709425926e+01  1.1138884735e+02  1.2618100739e+02  
5.8085803699e+01   9.5775336027e-01  9.8849999905e-01  9.6250039339e-01  -1.1526790261e-01  6.4584359527e-02  2.5300568342e-01  1.3673564792e-01  -9.7883023322e-02  -2.6348021626e-01  2.5622720337e+02  1.5740462303e+01  1.1115048981e+02  1.2628290558e+02  
5.8558576920e+01   9.5751798153e-01  9.8855346441e-01  9.6235918999e-01  -1.1550484598e-01  6.3614748418e-02  2.5385853648e-01  1.3680338860e-01  -9.7059942782e-02  -2.6423087716e-01  2.5646340942e+02  1.5770261765e+01  1.1092378998e+02  1.2639383698e+02  
5.9041136774e+01   9.5727747679e-01  9.8860758543e-01  9.6221405268e-01  -1.1574675888e-01  6.2622494996e-02  2.5472813845e-01  1.3687025011e-01  -9.6217088401e-02  -2.6499542594e-01  2.5670404053e+02  1.5800832748e+01  1.1069278717e+02  1.2649054718e+02  
5.9523429047e+01   9.5703792572e-01  9.8866170645e-01  9.6206909418e-01  -1.1598708481e-01  6.1625391245e-02  2.5559335947e-01  1.3693208992e-01  -9.5368131995e-02  -2.6575434208e-01  2.5694451904e+02  1.5831301689e+01  1.1046177673e+02  1.2659786987e+02  
6.0019465796e+01   9.5679283142e-01  9.8871743679e-01  9.6192038059e-01  -1.1623243243e-01  6.0593824834e-02  2.5647857785e-01  1.3698998094e-01  -9.4487495720e-02  -2.6652869582e-01  2.5719183350e+02  1.5862503052e+01  1.1022395325e+02  1.2671221924e+02  
6.0516480657e+01   9.5654749870e-01  9.8877292871e-01  9.6177083254e-01  -1.1647760868e-01  5.9556305408e-02  2.5736311078e-01  1.3704429567e-01  -9.3600526452e-02  -2.6730111241e-01  2.5743933105e+02  1.5893820763e+01  1.0998584747e+02  1.2681509399e+02  
6.1065225223e+01   9.5627659559e-01  9.8883366585e-01  9.6160471439e-01  -1.1674804240e-01  5.8407153934e-02  2.5833782554e-01  1.3710084558e-01  -9.2617124319e-02  -2.6815101504e-01  2.5771206665e+02  1.5928542137e+01  1.0972335052e+02  1.2694029236e+02  
6.1545065984e+01   9.5603942871e-01  9.8888611794e-01  9.6145832539e-01  -1.1698459089e-01  5.7399716228e-02  2.5918912888e-01  1.3714788854e-01  -9.1754429042e-02  -2.6889246702e-01  2.5795010376e+02  1.5959075928e+01  1.0949425507e+02  1.2704256439e+02  
6.2064461055e+01   9.5578229427e-01  9.8894214630e-01  9.6129846573e-01  -1.1724098772e-01  5.6307002902e-02  2.6011005044e-01  1.3719671965e-01  -9.0818338096e-02  -2.6969379187e-01  2.5820712280e+02  1.5992349625e+01  1.0924682617e+02  1.2716809082e+02  
6.2626670984e+01   9.5550322533e-01  9.8900187016e-01  9.6112364531e-01  -1.1751915514e-01  5.5122036487e-02  2.6110669971e-01  1.3724756241e-01  -8.9803017676e-02  -2.7056023479e-01  2.5848455811e+02  1.6028665543e+01  1.0897974396e+02  1.2729936218e+02  
6.3078538068e+01   9.5527821779e-01  9.8904907703e-01  9.6098172665e-01  -1.1774335057e-01  5.4168235511e-02  2.6190784574e-01  1.3728715479e-01  -8.8985741138e-02  -2.7125629783e-01  2.5870693970e+02  1.6058099747e+01  1.0876569366e+02  1.2739082336e+02  
6.3558063033e+01   9.5503878593e-01  9.8909837008e-01  9.6082949638e-01  -1.1798198521e-01  5.3154896945e-02  2.6275831461e-01  1.3732808828e-01  -8.8117517531e-02  -2.7199482918e-01  2.5894226074e+02  1.6089590073e+01  1.0853917694e+02  1.2749930573e+02  
6.4066938762e+01   9.5478373766e-01  9.8914974928e-01  9.6066623926e-01  -1.1823610961e-01  5.2078381181e-02  2.6366141438e-01  1.3737046719e-01  -8.7195321918e-02  -2.7277866006e-01  2.5919128418e+02  1.6123310089e+01  1.0829953766e+02  1.2761631012e+02  
6.4606961757e+01   9.5451205969e-01  9.8920315504e-01  9.6049094200e-01  -1.1850687861e-01  5.0934821367e-02  2.6462051272e-01  1.3741439581e-01  -8.6215957999e-02  -2.7361077070e-01  2.5945465088e+02  1.6159446716e+01  1.0804611969e+02  1.2774057770e+02  
6.5180038479e+01   9.5422244072e-01  9.8925864697e-01  9.6030247211e-01  -1.1879552156e-01  4.9720119685e-02  2.6563930511e-01  1.3745996356e-01  -8.5176028311e-02  -2.7449429035e-01  -7.9733131409e+01  1.6198198318e+01  1.0777821350e+02  1.2789245605e+02  
6.5581446882e+01   9.5401883125e-01  9.8929673433e-01  9.6016895771e-01  -1.1899853498e-01  4.8868626356e-02  2.6635360718e-01  1.3749130070e-01  -8.4447301924e-02  -2.7511352301e-01  -7.9927566528e+01  1.6225597382e+01  1.0759119415e+02  1.2798439789e+02  
6.6214169890e+01   9.5369642973e-01  9.8935544491e-01  9.5995599031e-01  -1.1931998283e-01  4.7525435686e-02  2.6748076081e-01  1.3753977418e-01  -8.3298243582e-02  -2.7609035373e-01  -8.0232978821e+01  1.6269212723e+01  1.0729751587e+02  1.2812528992e+02  
6.6657357202e+01   9.5346957445e-01  9.8939555883e-01  9.5980489254e-01  -1.1954621226e-01  4.6583902091e-02  2.6827117801e-01  1.3757309318e-01  -8.2493148744e-02  -2.7677515149e-01  -8.0446113586e+01  1.6300079346e+01  1.0709261322e+02  1.2822679138e+02  
6.7118449281e+01   9.5323264599e-01  9.8943650723e-01  9.5964610577e-01  -1.1978254467e-01  4.5603744686e-02  2.6909440756e-01  1.3760724664e-01  -8.1655360758e-02  -2.7748820186e-01  -8.0667160034e+01  1.6332469940e+01  1.0688015747e+02  1.2833622742e+02  
6.7561602785e+01   9.5300400257e-01  9.8947495222e-01  9.5949178934e-01  -1.2001063675e-01  4.4661197811e-02  2.6988649368e-01  1.3763962686e-01  -8.0850079656e-02  -2.7817410231e-01  -8.0878929138e+01  1.6363872528e+01  1.0667667389e+02  1.2846232605e+02  
6.8138370360e+01   9.5270496607e-01  9.8952382803e-01  9.5928853750e-01  -1.2030904740e-01  4.3433830142e-02  2.7091902494e-01  1.3768130541e-01  -7.9802080989e-02  -2.7906808257e-01  -8.1153526306e+01  1.6405158997e+01  1.0641290283e+02  1.2860864258e+02  
6.8629512353e+01   9.5244890451e-01  9.8956423998e-01  9.5911312103e-01  -1.2056466192e-01  4.2388331145e-02  2.7179992199e-01  1.3771660626e-01  -7.8910052776e-02  -2.7983072400e-01  -8.1386405945e+01  1.6440708160e+01  1.0618928528e+02  1.2870997620e+02  
6.9150716165e+01   9.5217579603e-01  9.8960596323e-01  9.5892465115e-01  -1.2083742768e-01  4.1278623044e-02  2.7273640037e-01  1.3775390387e-01  -7.7963955700e-02  -2.8064140677e-01  -8.1632545471e+01  1.6478822708e+01  1.0595302582e+02  1.2884112549e+02  
6.9515790476e+01   9.5198363066e-01  9.8963445425e-01  9.5879119635e-01  -1.2102939934e-01  4.0501162410e-02  2.7339330316e-01  1.3777989149e-01  -7.7301532030e-02  -2.8121003509e-01  -8.1804359436e+01  1.6505754471e+01  1.0578816986e+02  1.2893571472e+02  
7.0032758458e+01   9.5171022415e-01  9.8967379332e-01  9.5860016346e-01  -1.2130258232e-01  3.9400029927e-02  2.7432507277e-01  1.3781657815e-01  -7.6363965869e-02  -2.8201654553e-01  -8.2046783447e+01  1.6544233322e+01  1.0555562592e+02  1.2905880737e+02  
7.0551247303e+01   9.5143455267e-01  9.8971205950e-01  9.5840615034e-01  -1.2157816440e-01  3.8295511156e-02  2.7526134253e-01  1.3785329461e-01  -7.5424298644e-02  -2.8282696009e-01  -8.2288894653e+01  1.6583227158e+01  1.0532349396e+02  1.2921449280e+02  
7.1018412404e+01   9.5118474960e-01  9.8974543810e-01  9.5822918415e-01  -1.2182791531e-01  3.7300206721e-02  2.7610662580e-01  1.3788637519e-01  -7.4578255415e-02  -2.8355860710e-01  -8.2506156921e+01  1.6618715286e+01  1.0511527252e+02  1.2930601501e+02  
7.1514171748e+01   9.5091837645e-01  9.8977982998e-01  9.5803922415e-01  -1.2209439278e-01  3.6243900657e-02  2.7700528502e-01  1.3792143762e-01  -7.3681078851e-02  -2.8433644772e-01  -8.2735771179e+01  1.6656730652e+01  1.0489530182e+02  1.2943095398e+02  
7.2040275529e+01   9.5063418150e-01  9.8981505632e-01  9.5783519745e-01  -1.2237872928e-01  3.5122670233e-02  2.7796062827e-01  1.3795843720e-01  -7.2729490697e-02  -2.8516325355e-01  -8.2978424072e+01  1.6697462082e+01  1.0466294098e+02  1.2956367493e+02  
7.2598581070e+01   9.5033103228e-01  9.8985117674e-01  9.5761609077e-01  -1.2268214673e-01  3.3932372928e-02  2.7897617221e-01  1.3799734414e-01  -7.1720026433e-02  -2.8604203463e-01  -8.3234779358e+01  1.6741107941e+01  1.0441755676e+02  1.2972305298e+02  
7.3101621526e+01   9.5005643368e-01  9.8988252878e-01  9.5741623640e-01  -1.2295702845e-01  3.2859444618e-02  2.7989280224e-01  1.3803207874e-01  -7.0810772479e-02  -2.8683513403e-01  -8.3464759827e+01  1.6780811310e+01  1.0419750214e+02  1.2984625244e+02  
7.3635452082e+01   9.4976353645e-01  9.8991459608e-01  9.5720177889e-01  -1.2325023115e-01  3.1720343977e-02  2.8086704016e-01  1.3806852698e-01  -6.9846093655e-02  -2.8767791390e-01  -8.3707794189e+01  1.6823322296e+01  1.0396505737e+02  1.2998460388e+02  
7.4009370726e+01   9.4955754280e-01  9.8993635178e-01  9.5705008507e-01  -1.2345647812e-01  3.0922068283e-02  2.8155028820e-01  1.3809370995e-01  -6.9170400500e-02  -2.8826886415e-01  -8.3877395630e+01  1.6853321075e+01  1.0380287933e+02  1.3007557678e+02  
7.4598762795e+01   9.4923150539e-01  9.8996943235e-01  9.5680868626e-01  -1.2378296256e-01  2.9662989080e-02  2.8262850642e-01  1.3813270628e-01  -6.8105183542e-02  -2.8920114040e-01  -8.4143722534e+01  1.6900970459e+01  1.0354830933e+02  1.3023780823e+02  
7.5011599192e+01   9.4900220633e-01  9.8999172449e-01  9.5663785934e-01  -1.2401263416e-01  2.8780404478e-02  2.8338459134e-01  1.3815945387e-01  -6.7358829081e-02  -2.8985467553e-01  -8.4329544067e+01  1.6934604645e+01  1.0337074280e+02  1.3033586121e+02  
7.5662335661e+01   9.4863909483e-01  9.9002552032e-01  9.5636576414e-01  -1.2437621504e-01  2.7387998998e-02  2.8457766771e-01  1.3820049167e-01  -6.6181845963e-02  -2.9088550806e-01  -8.4621238708e+01  1.6988035202e+01  1.0309208679e+02  1.3051470947e+02  
7.6118140402e+01   9.4838368893e-01  9.9004817009e-01  9.5617318153e-01  -1.2463199347e-01  2.6411717758e-02  2.8541418910e-01  1.3822837174e-01  -6.5356940031e-02  -2.9160797596e-01  -8.4824691772e+01  1.7025760651e+01  1.0289778137e+02  1.3063951111e+02  
7.6592359654e+01   9.4811701775e-01  9.9007081985e-01  9.5597112179e-01  -1.2489904463e-01  2.5395080447e-02  2.8628522158e-01  1.3825656474e-01  -6.4498186111e-02  -2.9235991836e-01  -8.5035614014e+01  1.7065263748e+01  1.0269638824e+02  1.3077120972e+02  
7.7085737364e+01   9.4783854485e-01  9.9009341002e-01  9.5575898886e-01  -1.2517789006e-01  2.4336330593e-02  2.8719213605e-01  1.3828496635e-01  -6.3604116440e-02  -2.9314252734e-01  -8.5254257202e+01  1.7106634140e+01  1.0248767090e+02  1.3090234375e+02  
7.7521560547e+01   9.4759172201e-01  9.9011260271e-01  9.5556998253e-01  -1.2542505562e-01  2.3400107399e-02  2.8799387813e-01  1.3830922544e-01  -6.2813714147e-02  -2.9383409023e-01  -8.5446739197e+01  1.7143407822e+01  1.0230397034e+02  1.3101695251e+02  
7.8208530111e+01   9.4720107317e-01  9.9014133215e-01  9.5526909828e-01  -1.2581621110e-01  2.1922560409e-02  2.8925862908e-01  1.3834583759e-01  -6.1566639692e-02  -2.9492440820e-01  -8.5748863220e+01  1.7201799393e+01  1.0201569366e+02  1.3120027161e+02  
7.8653035847e+01   9.4694727659e-01  9.9015891552e-01  9.5507240295e-01  -1.2607030571e-01  2.0965242758e-02  2.9007759690e-01  1.3836841285e-01  -6.0758836567e-02  -2.9563003778e-01  -8.5943534851e+01  1.7239856720e+01  1.0182998657e+02  1.3132904053e+02  
7.9078087775e+01   9.4670385122e-01  9.9017500877e-01  9.5488297939e-01  -1.2631399930e-01  2.0048825070e-02  2.9086115956e-01  1.3838912547e-01  -5.9985667467e-02  -2.9630482197e-01  -8.6129104614e+01  1.7276445389e+01  1.0165299988e+02  1.3144660950e+02  
7.9520311801e+01   9.4644987583e-01  9.9019098282e-01  9.5468443632e-01  -1.2656825781e-01  1.9094366580e-02  2.9167678952e-01  1.3840976357e-01  -5.9180513024e-02  -2.9700687528e-01  -8.6321556091e+01  1.7314712524e+01  1.0146947479e+02  1.3157048035e+02  
8.0146528588e+01   9.4608896971e-01  9.9021226168e-01  9.5440071821e-01  -1.2692953646e-01  1.7740869895e-02  2.9283237457e-01  1.3843728602e-01  -5.8038882911e-02  -2.9800096154e-01  -8.6593032837e+01  1.7369247437e+01  1.0121063995e+02  1.3175767517e+02  
8.0561075470e+01   9.4584923983e-01  9.9022555351e-01  9.5421129465e-01  -1.2716947496e-01  1.6843590885e-02  2.9359772801e-01  1.3845436275e-01  -5.7282131165e-02  -2.9865893722e-01  -8.6772087097e+01  1.7405567169e+01  1.0103995514e+02  1.3186528015e+02  
8.1214508104e+01   9.4547009468e-01  9.9024516344e-01  9.5391005278e-01  -1.2754890323e-01  1.5427201055e-02  2.9480460286e-01  1.3847941160e-01  -5.6087657809e-02  -2.9969578981e-01  -8.7053230286e+01  1.7463165283e+01  1.0077199554e+02  1.3206312561e+02  
8.1603110050e+01   9.4524389505e-01  9.9025601149e-01  9.5372945070e-01  -1.2777525187e-01  1.4583543874e-02  2.9552263021e-01  1.3849316537e-01  -5.5376205593e-02  -3.0031228065e-01  -8.7219825745e+01  1.7497619629e+01  1.0061323547e+02  1.3216644287e+02  
8.2007411515e+01   9.4500797987e-01  9.9026668072e-01  9.5354032516e-01  -1.2801127136e-01  1.3704792596e-02  2.9626983404e-01  1.3850656152e-01  -5.4635167122e-02  -3.0095347762e-01  -8.7392669678e+01  1.7533618927e+01  1.0044853973e+02  1.3228410339e+02  
8.2611990534e+01   9.4465422630e-01  9.9028146267e-01  9.5325535536e-01  -1.2836523354e-01  1.2388742529e-02  2.9738748074e-01  1.3852478564e-01  -5.3525354713e-02  -3.0191189051e-01  -8.7650222778e+01  1.7587741852e+01  1.0020315552e+02  1.3246263123e+02  
8.3186190890e+01   9.4431704283e-01  9.9029421806e-01  9.5298218727e-01  -1.2870247662e-01  1.1136486195e-02  2.9844921827e-01  1.3853999972e-01  -5.2469287068e-02  -3.0282163620e-01  -8.7893852234e+01  1.7639463425e+01  9.9971069336e+01  1.3263032532e+02  
8.3588386337e+01   9.4408029318e-01  9.9030238390e-01  9.5278942585e-01  -1.2893933058e-01  1.0258027352e-02  2.9919305444e-01  1.3854946196e-01  -5.1728419960e-02  -3.0345854163e-01  -8.8063926697e+01  1.7675872803e+01  9.9809074402e+01  1.3275479126e+02  
8.4126649645e+01   9.4376254082e-01  9.9031233788e-01  9.5252960920e-01  -1.2925709784e-01  9.0805152431e-03  3.0018869042e-01  1.3856047392e-01  -5.0735253841e-02  -3.0431047082e-01  -8.8290824890e+01  1.7724832535e+01  9.9592971802e+01  1.3291035461e+02  
8.4503673186e+01   9.4353944063e-01  9.9031865597e-01  9.5234638453e-01  -1.2948019803e-01  8.2545336336e-03  3.0088618398e-01  1.3856710494e-01  -5.0038538873e-02  -3.0490687490e-01  -8.8449249268e+01  1.7759283066e+01  9.9442100525e+01  1.3302667236e+02  
8.5097959372e+01   9.4318681955e-01  9.9032741785e-01  9.5205545425e-01  -1.2983281910e-01  6.9506266154e-03  3.0198580027e-01  1.3857576251e-01  -4.8938654363e-02  -3.0584654212e-01  -8.8698127747e+01  1.7813852310e+01  8.0794891357e+01  1.3320332336e+02  
8.5514223826e+01   9.4293904305e-01  9.9033278227e-01  9.5185011625e-01  -1.3008052111e-01  6.0359402560e-03  3.0275624990e-01  1.3858057559e-01  -4.8167087138e-02  -3.0650442839e-01  -8.8871826172e+01  1.7852273941e+01  8.0960273743e+01  1.3332807922e+02  
8.6170363796e+01   9.4254732132e-01  9.9033975601e-01  9.5152372122e-01  -1.3047218323e-01  4.5919329859e-03  3.0397108197e-01  1.3858613372e-01  -4.6949051321e-02  -3.0754113197e-01  -8.9144577026e+01  1.7913173676e+01  8.1219909668e+01  1.3353294373e+02  
8.6560575818e+01   9.4231361151e-01  9.9034303427e-01  9.5132803917e-01  -1.3070583344e-01  3.7317983806e-03  3.0469384789e-01  1.3858824968e-01  -4.6223524958e-02  -3.0815747380e-01  -8.9306182861e+01  1.7949586868e+01  8.1373725891e+01  1.3365039062e+02  
8.7175650446e+01   9.4194412231e-01  9.9034702778e-01  9.5101726055e-01  -1.3107520342e-01  2.3740446195e-03  3.0583348870e-01  1.3858976960e-01  -4.5078288764e-02  -3.0912867188e-01  -8.9559989929e+01  1.8007276535e+01  8.1615264893e+01  1.3384033203e+02  
8.7606476049e+01   9.4168448448e-01  9.9034887552e-01  9.5079779625e-01  -1.3133476675e-01  1.4216359705e-03  3.0663210154e-01  1.3858959079e-01  -4.4275008142e-02  -3.0980879068e-01  -8.9737083435e+01  1.8047904968e+01  8.1783775330e+01  1.3397460938e+02  
8.8054707006e+01   9.4141358137e-01  9.9035000801e-01  9.5056796074e-01  -1.3160556555e-01  4.2958781705e-04  3.0746331811e-01  1.3858835399e-01  -4.3438367546e-02  -3.1051635742e-01  -8.9920730591e+01  1.8090368271e+01  8.1958480835e+01  1.3411479187e+02  
8.8521046494e+01   9.4113093615e-01  9.9035024643e-01  9.5032709837e-01  -1.3188813627e-01  -6.0375960311e-04  3.0832856894e-01  1.3858594000e-01  -4.2566999793e-02  -3.1125244498e-01  -8.9888862610e+01  1.8134761810e+01  8.2139587402e+01  1.3426271057e+02  
8.9006226097e+01   9.4083589315e-01  9.9034947157e-01  9.5007461309e-01  -1.3218304515e-01  -1.6801395686e-03  3.0922928452e-01  1.3858227432e-01  -4.1659474373e-02  -3.1201833487e-01  -8.9691482544e+01  1.8181179047e+01  8.2327285767e+01  1.3441783142e+02  
8.9511006956e+01   9.4052791595e-01  9.9034768343e-01  9.4980984926e-01  -1.3249091804e-01  -2.8013607953e-03  3.1016698480e-01  1.3857723773e-01  -4.0714312345e-02  -3.1281521916e-01  -8.9486907959e+01  1.8229728699e+01  8.2521781921e+01  1.3458064270e+02  
9.0036180962e+01   9.4020640850e-01  9.9034458399e-01  9.4953221083e-01  -1.3281235099e-01  -3.9693117142e-03  3.1114324927e-01  1.3857069612e-01  -3.9729956537e-02  -3.1364443898e-01  -8.9274932861e+01  1.8280515671e+01  8.2723266602e+01  1.3475123596e+02  
9.0540923315e+01   9.3989622593e-01  9.9034053087e-01  9.4926315546e-01  -1.3312241435e-01  -5.0932206213e-03  3.1208226085e-01  1.3856315613e-01  -3.8782924414e-02  -3.1444159150e-01  -8.9072021484e+01  1.8329595566e+01  8.2916084290e+01  1.3492457581e+02  
9.1023575602e+01   9.3959861994e-01  9.9033552408e-01  9.4900387526e-01  -1.3341993093e-01  -6.1692278832e-03  3.1298086047e-01  1.3855484128e-01  -3.7876449525e-02  -3.1520405412e-01  -8.8878738403e+01  1.8376777649e+01  8.3099708557e+01  1.3508045959e+02  
9.1525727042e+01   9.3928784132e-01  9.9032932520e-01  9.4873201847e-01  -1.3373057544e-01  -7.2899605148e-03  3.1391650438e-01  1.3854505122e-01  -3.6932524294e-02  -3.1599751115e-01  -8.8678436279e+01  1.8426120758e+01  8.3289955139e+01  1.3524497986e+02  
9.2048165401e+01   9.3896341324e-01  9.9032163620e-01  9.4844686985e-01  -1.3405494392e-01  -8.4573021159e-03  3.1489071250e-01  1.3853366673e-01  -3.5949598998e-02  -3.1682330370e-01  -8.8470909119e+01  1.8477739334e+01  8.3487007141e+01  1.3541946411e+02  
9.2591710269e+01   9.3862450123e-01  9.9031233788e-01  9.4814771414e-01  -1.3439375162e-01  -9.6732182428e-03  3.1590521336e-01  1.3852053881e-01  -3.4926075488e-02  -3.1768280268e-01  -8.8255920410e+01  1.8531745911e+01  8.3691070557e+01  1.3560467529e+02  
9.3157214349e+01   9.3827044964e-01  9.9030125141e-01  9.4783371687e-01  -1.3474769890e-01  -1.0939769447e-02  3.1696170568e-01  1.3850551844e-01  -3.3860269934e-02  -3.1857740879e-01  -8.8033264160e+01  1.8588264465e+01  8.3902351379e+01  1.3579650879e+02  
9.3745564794e+01   9.3790060282e-01  9.9028819799e-01  9.4750404358e-01  -1.3511751592e-01  -1.2259105220e-02  3.1806203723e-01  1.3848844171e-01  -3.2750435174e-02  -3.1950864196e-01  -8.7802719116e+01  1.8647428513e+01  8.4121047974e+01  1.3599456787e+02  
9.4048594400e+01   9.3770939112e-01  9.9028080702e-01  9.4733309746e-01  -1.3530863822e-01  -1.2939252891e-02  3.1862923503e-01  1.3847908378e-01  -3.2178450376e-02  -3.1998845935e-01  -8.7684410095e+01  1.8678041458e+01  8.4233238220e+01  1.3610624695e+02  
9.4625943341e+01   9.3734401464e-01  9.9026566744e-01  9.4700503349e-01  -1.3567399979e-01  -1.4236354269e-02  3.1971082091e-01  1.3846017420e-01  -3.1087934971e-02  -3.2090309262e-01  -8.7459831238e+01  1.8736642838e+01  8.4446151733e+01  1.3630212402e+02  
9.5176851164e+01   9.3699383736e-01  9.9024981260e-01  9.4668924809e-01  -1.3602413237e-01  -1.5475523658e-02  3.2074403763e-01  1.3844084740e-01  -3.0046522617e-02  -3.2177636027e-01  -8.7246536255e+01  1.8792894363e+01  8.4648284912e+01  1.3650100708e+02  
9.5750015663e+01   9.3662792444e-01  9.9023175240e-01  9.4635772705e-01  -1.3639000058e-01  -1.6766227782e-02  3.2182019949e-01  1.3841943443e-01  -2.8962226585e-02  -3.2268550992e-01  -8.7025672913e+01  1.8851762772e+01  8.4857513428e+01  1.3669354248e+02  
9.6045223754e+01   9.3643879890e-01  9.9022191763e-01  9.4618582726e-01  -1.3657908142e-01  -1.7431583256e-02  3.2237493992e-01  1.3840787113e-01  -2.8403446078e-02  -3.2315400243e-01  -8.6912338257e+01  1.8882219315e+01  8.4964851379e+01  1.3679702759e+02  
9.6653470506e+01   9.3604785204e-01  9.9020028114e-01  9.4582915306e-01  -1.3696999848e-01  -1.8803715706e-02  3.2351899147e-01  1.3838295639e-01  -2.7251470834e-02  -3.2411974669e-01  -8.6679725647e+01  1.8945264816e+01  8.5185081482e+01  1.3702120972e+02  
9.7238053698e+01   9.3567037582e-01  9.9017786980e-01  9.4548314810e-01  -1.3734745979e-01  -2.0124081522e-02  3.2461994886e-01  1.3835760951e-01  -2.6143444702e-02  -3.2504862547e-01  -8.6457283020e+01  1.9006231308e+01  8.5395591736e+01  1.3722628784e+02  
9.7563620902e+01   9.3545943499e-01  9.9016469717e-01  9.4528907537e-01  -1.3755843043e-01  -2.0860044286e-02  3.2523366809e-01  1.3834290206e-01  -2.5526052341e-02  -3.2556623220e-01  -8.6333892822e+01  1.9040342331e+01  8.5512321472e+01  1.3735110474e+02  
9.8183909735e+01   9.3505597115e-01  9.9013817310e-01  9.4491666555e-01  -1.3796184957e-01  -2.2263623774e-02  3.2640409470e-01  1.3831369579e-01  -2.4349017069e-02  -3.2655298710e-01  -8.6099739075e+01  1.9105648041e+01  8.5733764648e+01  1.3758090210e+02  
9.8828532800e+01   9.3463462591e-01  9.9010872841e-01  9.4452583790e-01  -1.3838317990e-01  -2.3724112660e-02  3.2762208581e-01  1.3828170300e-01  -2.3124838248e-02  -3.2757925987e-01  -8.5857727051e+01  1.9173948288e+01  8.5962539673e+01  1.3780683899e+02  
9.9133038227e+01   9.3443489075e-01  9.9009418488e-01  9.4433981180e-01  -1.3858294487e-01  -2.4414697662e-02  3.2819804549e-01  1.3826599717e-01  -2.2546196356e-02  -3.2806432247e-01  -8.5743865967e+01  1.9206363678e+01  8.6070129395e+01  1.3793167114e+02  
9.9814896062e+01   9.3398588896e-01  9.9005985260e-01  9.4392025471e-01  -1.3903196156e-01  -2.5962548330e-02  3.2948899269e-01  1.3822945952e-01  -2.1249733865e-02  -3.2915115356e-01  -8.5490005493e+01  1.9279306412e+01  8.6309936523e+01  1.3817996216e+02  
1.0000000000e+02   9.3386352062e-01  9.9005019665e-01  9.4380557537e-01  -1.3915430009e-01  -2.6383185759e-02  3.2983985543e-01  1.3821923733e-01  -2.0897541195e-02  -3.2944646478e-01  -8.5421333313e+01  1.9299198151e+01  8.6374778748e+01  1.3827281189e+02  
