  222.74    124.61     45.64         1.00000
  302.23    124.55     46.50         1.00000
   38.93    124.42    223.15         1.00000
  292.66     56.35    135.20         1.00000
   53.34     54.80    225.70         1.00000
  287.42     57.47     42.58         1.00000
  208.89    126.18    137.40         1.00000
   16.08    125.72    314.16         1.00000
  204.98    126.38    133.08         1.00000
  226.65     55.91    312.61         1.00000
  303.47    123.67    313.69         1.00000
  217.04     54.76    316.72         1.00000
  218.32     55.77    136.50         1.00000
  315.34     54.18    313.50         1.00000
  208.00     57.29    135.72         1.00000
   22.19    124.44    225.57         1.00000
   15.48    123.08    225.34         1.00000
  133.59    123.82    224.26         1.00000
   27.80     54.13     46.90         1.00000
  222.01    123.72    223.34         1.00000
   12.36     55.55    134.94         1.00000
  219.46    124.28    223.94         1.00000
   72.38     55.06    225.22         1.00000
  217.72    124.71    134.70         1.00000
  180.63    127.46    223.43         1.00000
  274.83     57.44     43.88         1.00000
  260.54     54.95     44.97         1.00000
    4.55     54.46    223.91         1.00000
  261.77     55.39    224.08         1.00000
  118.11    125.49    135.48         1.00000
  175.05     57.34    133.94         1.00000
  203.70     53.34     43.37         1.00000
  199.20    124.55    313.19         1.00000
    2.36    127.12    225.83         1.00000
  129.47     56.99    224.80         1.00000
  167.22    124.53    316.82         1.00000
   30.92     56.51    226.61         1.00000
  285.98    124.77    314.49         1.00000
  103.47    124.04    133.23         1.00000
  136.18    125.38    317.13         1.00000
  140.19     55.87    226.14         1.00000
    1.82    122.50     44.83         1.00000
  130.81     53.31     45.25         1.00000
  298.32    126.16     43.98         1.00000
    5.19     53.62    225.42         1.00000
   32.49     55.99    224.07         1.00000
  173.64     54.89     45.12         1.00000
  109.40     55.83    313.92         1.00000
  352.98    124.15    226.04         1.00000
  291.50     57.10     42.94         1.00000
  234.35     55.37    313.28         1.00000
  119.26    126.54    224.43         1.00000
  207.12    124.16    222.69         1.00000
  324.09    122.94    227.18         1.00000
   30.47     55.52     45.88         1.00000
  195.62    126.75    132.84         1.00000
  326.81     56.29    317.33         1.00000
  317.57    124.73    134.65         1.00000
  174.07    126.54     47.46         1.00000
  336.34    124.78     42.83         1.00000
  214.05     54.77     45.85         1.00000
