   27.25     89.78    358.94         1.00000
   34.14      1.90    312.29         1.00000
  172.80     89.54    268.79         1.00000
   18.05     90.19     89.98         1.00000
  273.61     89.61     87.92         1.00000
  188.17     89.41    358.74         1.00000
   47.25     89.11    269.23         1.00000
  270.49      1.95    341.75         1.00000
   66.79     92.20      1.11         1.00000
   82.00     88.30    177.86         1.00000
  259.32     91.07     89.41         1.00000
   86.80     88.20    268.40         1.00000
  233.99     91.72     88.96         1.00000
  121.47    178.05    273.63         1.00000
   85.88     91.76    179.92         1.00000
  309.14      1.13    139.99         1.00000
  295.03      0.62    199.33         1.00000
  105.80     92.03     89.03         1.00000
   39.67     88.81    178.63         1.00000
  284.88     90.83    271.69         1.00000
  260.21      2.23    263.62         1.00000
  187.68     89.07    179.02         1.00000
  269.35     90.64     87.95         1.00000
  331.41     89.90    359.07         1.00000
  283.73     89.59    181.47         1.00000
   50.52      2.30    288.38         1.00000
  300.02     90.74      1.81         1.00000
  228.06     87.62    359.01         1.00000
   99.91     89.29    180.00         1.00000
  111.18      0.20     55.37         1.00000
  204.62      1.73    246.18         1.00000
  139.20     87.80    178.09         1.00000
  243.31     87.81    179.95         1.00000
  246.67      1.47    287.08         1.00000
  327.68    177.87    206.66         1.00000
  331.89     88.51    181.56         1.00000
  310.24     88.35     92.26         1.00000
  339.80     89.63    270.24         1.00000
  187.18     89.31    271.57         1.00000
   74.44     90.19    359.81         1.00000
   58.42     90.60     88.16         1.00000
   41.16     89.90     92.45         1.00000
    9.86     89.74     90.59         1.00000
  356.37     90.03    269.78         1.00000
  326.54     90.28     88.51         1.00000
  170.00     92.09      1.53         1.00000
  101.67     89.50    269.82         1.00000
   24.21     89.34    180.61         1.00000
  145.35     87.63     91.60         1.00000
   56.69     92.15    181.00         1.00000
  125.08     92.04     90.28         1.00000
   60.15    178.85    202.07         1.00000
  331.48     88.51     89.01         1.00000
   32.92    179.60     24.35         1.00000
  315.00    178.30    253.74         1.00000
   91.84     91.93    358.81         1.00000
   63.98     92.38    270.99         1.00000
