0.00	22.000
0.01	21.964
0.02	21.856
0.03	21.682
0.04	21.451
0.05	21.171
0.06	20.854
0.07	20.511
0.08	20.150
0.09	19.781
0.10	19.410
0.11	19.041
0.12	18.678
0.13	18.322
0.14	17.974
0.15	17.635
0.16	17.304
0.17	16.980
0.18	16.663
0.19	16.351
0.20	16.044
0.22	15.444
0.24	14.859
0.25	14.572
0.26	14.28
0.28	13.735
0.30	13.198
0.32	12.682
0.34	12.187
0.35	11.949
0.36	11.717
0.38	11.271
0.40	10.852
0.42	10.459
0.44	10.093
0.45	9.920
0.46	9.753
0.48	9.438
0.50	9.148
0.55	8.518
0.60	8.007
0.65	7.588
0.70	7.240
0.80	6.676
0.90	6.200
1.00	5.752
1.10	5.310
1.20	4.872
1.30	4.445
1.40	4.038
1.50	3.660
1.60	3.316
1.70	3.006
1.80	2.734
1.90	2.496
2.00	2.290
