0.00	42.000
0.01	41.958
0.02	41.831
0.03	41.625
0.04	41.346
0.05	41.003
0.06	40.606
0.07	40.164
0.08	39.686
0.09	39.181
0.10	38.656
0.11	38.117
0.12	37.569
0.13	37.016
0.14	36.461
0.15	35.907
0.16	35.355
0.17	34.806
0.18	34.263
0.19	33.725
0.20	33.195
0.22	32.157
0.24	31.153
0.25	30.665
0.26	30.188
0.28	29.263
0.30	28.382
0.32	27.543
0.34	26.749
0.35	26.368
0.36	25.998
0.38	25.289
0.40	24.620
0.42	23.989
0.44	23.394
0.45	23.109
0.46	22.832
0.48	22.300
0.50	21.796
0.55	20.638
0.60	19.595
0.65	18.635
0.70	17.732
0.80	16.036
0.90	14.448
1.00	12.968
1.10	11.621
1.20	10.430
1.30	9.404
1.40	8.542
1.50	7.831
1.60	7.251
1.70	6.780
1.80	6.397
1.90	6.080
2.00	5.813
