0.00	72.000
0.01	71.945
0.02	71.783
0.03	71.518
0.04	71.161
0.05	70.723
0.06	70.217
0.07	69.656
0.08	69.052
0.09	68.416
0.10	67.757
0.11	67.083
0.12	66.400
0.13	65.711
0.14	65.019
0.15	64.326
0.16	63.634
0.17	62.942
0.18	62.251
0.19	61.560
0.20	60.870
0.22	59.492
0.24	58.119
0.25	57.434
0.26	56.752
0.28	55.396
0.30	54.054
0.32	52.733
0.34	51.435
0.35	50.796
0.36	50.164
0.38	48.924
0.40	47.717
0.42	46.543
0.44	45.405
0.45	44.849
0.46	44.301
0.48	43.232
0.50	42.197
0.55	39.752
0.60	37.494
0.65	35.404
0.70	33.465
0.80	29.992
0.90	27.008
1.00	24.473
1.10	22.352
1.20	20.598
1.30	19.159
1.40	17.975
1.50	16.988
1.60	16.145
1.70	15.403
1.80	14.727
1.90	14.091
2.00	13.481
