0.00	24.000
0.01	23.971
0.02	23.885
0.03	23.746
0.04	23.558
0.05	23.329
0.06	23.065
0.07	22.772
0.08	22.459
0.09	22.129
0.10	21.789
0.11	21.441
0.12	21.089
0.13	20.734
0.14	20.378
0.15	20.022
0.16	19.667
0.17	19.312
0.18	18.960
0.19	18.609
0.20	18.260
0.22	17.570
0.24	16.893
0.25	16.561
0.26	16.232
0.28	15.588
0.30	14.965
0.32	14.365
0.34	13.790
0.35	13.513
0.36	13.242
0.38	12.720
0.40	12.227
0.42	11.762
0.44	11.326
0.45	11.118
0.46	10.917
0.48	10.536
0.50	10.180
0.55	9.400
0.60	8.756
0.65	8.227
0.70	7.791
0.80	7.118
0.90	6.606
1.00	6.172
1.10	5.768
1.20	5.372
1.30	4.982
1.40	4.597
1.50	4.226
1.60	3.874
1.70	3.545
1.80	3.244
1.90	2.971
2.00	2.727
